unit_number,time_in_cycles,op_setting_1,op_setting_2,op_setting_3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21
1,1,0.0013860998880170401,0.0001091518567219339,100.0,518.3755,641.7846,1591.7461,1399.7323,14.6309,21.6752,555.35,2386.4867,9039.3302,1.3009,47.3512,520.9854,2389.7856,8137.1024,8.4344,0.03,391.3845,2384.8134,100.0021,38.8406,23.388
1,2,0.0004013264222117145,0.0002054444563364572,100.0,519.3579,642.196,1591.0249,1401.4297,14.6384,21.5644,554.9717,2387.5647,9046.5693,1.2992,47.5881,520.0582,2393.0324,8130.3307,8.4293,0.0301,392.5968,2390.9664,100.3399,38.8153,23.2897
1,3,1.6158780724199974e-05,0.00029251488533568737,100.0,517.6592,643.2742,1589.0122,1398.3568,14.5964,21.5842,553.0644,2389.9017,9055.5854,1.3019,47.4254,521.901,2388.0386,8147.0622,8.4156,0.03,390.9073,2387.4033,100.0166,38.8095,23.3006
1,4,-0.0009488377250161711,0.00016788945528974108,100.0,519.0636,644.3127,1587.2851,1400.5496,14.5989,21.607,554.114,2391.0435,9057.245,1.3003,47.4618,522.5884,2388.664,8157.1326,8.3894,0.0301,391.6368,2384.1085,99.9933,38.7822,23.3299
1,5,0.0003060342166893604,0.00022873551048325277,100.0,517.9096,642.0857,1589.9311,1400.2042,14.6549,21.629,554.4693,2381.4098,9049.1605,1.3024,47.4209,521.5048,2377.1817,8123.4135,8.3837,0.03,391.9117,2387.621,99.9345,38.9094,23.2669
1,6,0.0008888131925508341,0.0002596389182751541,100.0,518.5304,642.2125,1587.7326,1399.8963,14.6358,21.5445,554.1686,2385.9673,9043.0762,1.3035,47.4382,522.8254,2391.9613,8138.985,8.4111,0.03,391.5148,2390.2453,99.9081,38.8521,23.2332
1,7,-0.0002949240339925811,0.0002535099363039418,100.0,517.7959,642.6218,1588.4905,1402.6802,14.6476,21.6158,554.2876,2388.2048,9043.7391,1.3023,47.6484,520.6166,2384.3367,8155.2615,8.3956,0.0299,393.2438,2387.0175,99.9625,38.8203,23.3303
1,8,-0.0006996501209165788,0.0003774389224587317,100.0,519.2559,642.2501,1588.3844,1400.8274,14.6429,21.6948,555.5545,2391.6883,9044.614,1.3024,47.4453,521.9197,2392.2135,8146.0275,8.4016,0.0299,392.2949,2388.4823,100.1395,38.8534,23.2967
1,9,0.0025809296556963067,0.0002996313353084623,100.0,517.029,640.8364,1590.0096,1400.4629,14.6159,21.6367,555.9758,2384.3653,9043.1141,1.3,47.4846,520.7025,2389.6943,8139.068,8.4357,0.03,391.5881,2382.6372,99.9853,38.8063,23.2952
1,10,0.0015184786883239193,0.00022350178025685292,100.0,518.8209,643.6414,1590.6728,1406.3008,14.6235,21.5968,553.0552,2383.3518,9056.3319,1.3013,47.4636,521.4844,2384.8406,8136.589,8.4116,0.0299,392.4264,2380.7384,100.0505,38.8474,23.3202
